rooms_num_square,type_offer,price_period,views,likes,address,apartment_complex,floors,furniture,series,building_type_year,added_ago,condition,link
"3-комн. кв., 116 м2",от собственника,182 204 сом/мес.,456,1,"Бишкек, Бишкек-Парк, Киевская 148а",Bishkek Park Residence,11 этаж из 22,полностью меблирована,элитка,"монолитный, 2016 г.",Добавлено 24 дня назад,евроремонт,https://www.house.kg/details/575518065a8aef4205cf8-43233502
"4-комн. кв., 148 м2",от собственника,130 145 сом/мес.,334,5,"Бишкек, Ак Кеме, Толомуша Оакеева 39/6 39",Жилой комплекс «IHLAS Residence»,9 этаж из 13,полностью меблирована,элитка,"монолитный, 2019 г.",Добавлено 24 дня назад,евроремонт,https://www.house.kg/details/727971265a8ad8e6ba308-11114686
"3-комн. кв., 70 м2",от собственника,65 073 сом/мес.,393,1,"Бишкек, Парк Панфилова/Спартак, Тоголок Молдо 21/Фрунзе",,4 этаж из 5,частично меблирована,индивид. планировка,кирпичный,Добавлено 24 дня назад,евроремонт,https://www.house.kg/details/70453165a8ab4233f239-24132546
"2-комн. кв., 42 м2",от собственника,65 073 сом/мес.,243,,"Бишкек, Магистраль, Сухэ-Батора 23/3Б/Токомбаева",Park Avenue,5 этаж из 12,полностью меблирована,элитка,"монолитный, 2019 г.",Добавлено 3 месяца назад,евроремонт,https://www.house.kg/details/4110850655edde8eec3b1-67971852
"1-комн. кв., 50 м2",от собственника,43 382 сом/мес.,959,5,"Бишкек, Карла Маркса, Карасаева 7/Белорусская",,6 этаж из 10,полностью меблирована,индивид. планировка,"монолитный, 2021 г.",Добавлено 2 года назад,евроремонт,https://www.house.kg/details/701092662d0486a995188-92918034
"1-комн. кв., 47 м2",от собственника,43 382 сом/мес.,988,1,"Бишкек, Средний Джал м-н 28",,3 этаж из 10,полностью меблирована,индивид. планировка,"кирпичный, 2014 г.",Добавлено 25 дней назад,хорошее,https://www.house.kg/details/249667765a7bb214f4564-92374933
"2-комн. кв., 75 м2",от собственника,52 058 сом/мес.,922,3,"Бишкек, VEFA, Фатьянова 170/Горького",,2 этаж из 9,,элитка,кирпичный,Добавлено 25 дней назад,евроремонт,https://www.house.kg/details/935617065a792eb3510f7-13750115
"2-комн. кв., 54 м2",от собственника,35 000 сом/мес.,1830,4,"Бишкек, Магистраль, пр. Мира 28/Южная магистраль",Фрунзе,3 этаж из 11,полностью меблирована,элитка,"монолитный, 2017 г.",Добавлено 26 дней назад,евроремонт,https://www.house.kg/details/77481265a6a32860b434-23800729
"3-комн. кв., 118 м2",от собственника,86 764 сом/мес.,1364,1,"Бишкек, Горького - Панфилова, Каракульская 1",Ак Барс,1 этаж из 9,частично меблирована,элитка,"кирпичный, 2017 г.",Добавлено 26 дней назад,евроремонт,https://www.house.kg/details/718952165a699cf0cbf33-76548260
"2-комн. кв., 65 м2",от собственника,52 058 сом/мес.,1403,1,"Бишкек, Магистраль, Токомбаева 19/1/Куттубаева",Асанбай Парк,9 этаж из 10,полностью меблирована,элитка,"кирпичный, 2017 г.",Добавлено 26 дней назад,евроремонт,https://www.house.kg/details/979015465a695f525f226-60300138
"2-комн. кв., 85 м2",от собственника,86 764 сом/мес.,731,1,"Бишкек, Магистраль, Токомбаева/Куттубаева",ЖК Асанбай Сити,7 этаж из 12,частично меблирована,элитка,"монолитный, 2021 г.",Добавлено 26 дней назад,евроремонт,https://www.house.kg/details/780001565a651d0ea9df7-34412163
"3-комн. кв., 110 м2",от агента,60 735 сом/мес.,1046,,"с. Кок-Джар, Алма-Aтинская/Токомбаева",Искендер,9 этаж из 9,,элитка,"монолитный, 2020 г.",Добавлено 26 дней назад,евроремонт,https://www.house.kg/details/625299265a645b5464359-64373461
"3-комн. кв., 110 м2",от собственника,65 073 сом/мес.,1089,,"с. Кок-Джар, Алма-Aтинская/Токомбаева",Искендер,9 этаж из 10,,элитка,"монолитный, 2020 г.",Добавлено 26 дней назад,евроремонт,https://www.house.kg/details/809718165a64583706d41-68567101
"2-комн. кв., 90 м2",от собственника,60 735 сом/мес.,1314,,"Бишкек, Цирк/Дворец бракосочетания, Тыныстанова 138 1/Жумабек",,9 этаж из 9,полностью меблирована,элитка,"кирпичный, 2016 г.",Добавлено 26 дней назад,евроремонт,https://www.house.kg/details/596082365a642ea6f5322-19239064
"3-комн. кв., 125 м2",от собственника,86 764 сом/мес.,1408,2,"Бишкек, Дордой Плаза",,6 этаж из 13,,элитка,кирпичный,Добавлено 26 дней назад,евроремонт,https://www.house.kg/details/205146365a6413f6865f3-41784509
"3-комн. кв., 95 м2",от агента,65 073 сом/мес.,431,1,"Бишкек, Золотой квадрат, Эркиндик 41/Киевская",,3 этаж из 3,полностью меблирована,сталинка,"кирпичный, 1968 г.",Добавлено 3 месяца назад,хорошее,https://www.house.kg/details/114064065608b24398bc2-27738338
"1-комн. кв., 35 м2",от собственника,2 500 сом/сутки,630,1,"Бишкек, Московская - Уметалиева, Турусбеква 40/Токтогула",,5 этаж из 5,полностью меблирована,индивид. планировка,"кирпичный, 2010 г.",Добавлено 1 год назад,хорошее,https://www.house.kg/details/369427363dca0a72ecfc8-79918335
"2-комн. кв., 70 м2",от агента,130 145 сом/мес.,374,,"Бишкек, Московская - Уметалиева, Боконбаева 9/Тимирязева",London,3 этаж из 12,,элитка,"монолитный, 2021 г.",Добавлено 26 дней назад,евроремонт,https://www.house.kg/details/165730065a605d1d81495-92598188
"2-комн. кв., 80 м2",от собственника,60 735 сом/мес.,466,2,"Бишкек, Джальская больница, Тыналиева 2/7",ЖК Манас,4 этаж из 9,,элитка,"монолитный, 2015 г.",Добавлено 1 месяц назад,евроремонт,https://www.house.kg/details/1699236659f7df41b9c74-93870289
"6 и более комнат кв., 150 м2",от собственника,7 000 сом/мес.,2344,15,"Бишкек, VEFA, Жукеевапудовкина/Горький",,1 этаж из 2,полностью меблирована,индивид. планировка,кирпичный,Добавлено 5 месяцев назад,хорошее,https://www.house.kg/details/60673416505bc5a706e86-12621283
"1-комн. кв., 50 м2",от собственника,2 000 сом/сутки,665,1,"Бишкек, КНУ, Манаса 131",,2 этаж из 2,полностью меблирована,элитка,кирпичный,Добавлено 28 дней назад,евроремонт,https://www.house.kg/details/530221265a3d1a89fce10-40250797
"3-комн. кв., 89 м2",от собственника,60 735 сом/мес.,1229,1,"Бишкек, Парк Панфилова/Спартак, Панфилова 190/1",Панфилов,8 этаж из 16,частично меблирована,элитка,"монолитный, 2017 г.",Добавлено 27 дней назад,евроремонт,https://www.house.kg/details/157213065a538e7e553f5-25535753
"2-комн. кв., 70 м2",от собственника,78 087 сом/мес.,920,3,"Бишкек, Бишкек-Парк, Токтогула 165",,8 этаж из 16,полностью меблирована,элитка,кирпичный,Добавлено 27 дней назад,евроремонт,https://www.house.kg/details/293527765a522e9dfc115-03126241
"2-комн. кв., 80 м2",от агента,78 087 сом/мес.,823,,"Бишкек, Магистраль",,11 этаж из 12,,элитка,монолитный,Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/742489465895a92d8f5e1-48425349
"2-комн. кв., 50 м2",от агента,56 396 сом/мес.,222,,"Бишкек, Душанбинка",,6 этаж из 12,,элитка,монолитный,Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/64084816576e7605769f3-63729114
"3-комн. кв., 95 м2",от агента,86 764 сом/мес.,691,,"Бишкек, Сквер Тоголок Молдо, Коенкозова/Чуйкова",Эл Классик,4 этаж из 10,,элитка,"монолитный, 2020 г.",Добавлено 1 месяц назад,евроремонт,https://www.house.kg/details/452523659932a9637a77-69589117
"2-комн. кв., 70 м2",от агента,78 087 сом/мес.,205,,"Бишкек, Парк Панфилова/Спартак, Логвиненко 28",Twin House,11 этаж из 12,,элитка,"монолитный, 2018 г.",Добавлено 1 месяц назад,евроремонт,https://www.house.kg/details/97905516599478ed31ea2-74051154
"2-комн. кв., 70 м2",от агента,73 749 сом/мес.,215,,"Бишкек, Военторг, Сыдыкова 141",Манхэттен,2 этаж из 15,,элитка,"монолитный, 2018 г.",Добавлено 1 месяц назад,евроремонт,https://www.house.kg/details/34643966599413e091d74-74690904
"2-комн. кв., 65 м2",от агента,60 735 сом/мес.,703,,"Бишкек, Верхний Джал м-н",,4 этаж из 12,,элитка,монолитный,Добавлено 1 месяц назад,евроремонт,https://www.house.kg/details/556651265a0d256e405e1-15665287
"1-комн. кв., 40 м2",от собственника,52 058 сом/мес.,516,5,"Бишкек, Магистраль, Сухе Батора/Южная Магистраль",Жилой дом “Флоренция”,4 этаж из 14,,элитка,монолитный,Добавлено 1 месяц назад,евроремонт,https://www.house.kg/details/4691241659cd60b30ee55-62434912
"2-комн. кв., 66 м2",от собственника,47 720 сом/мес.,2535,1,"Бишкек, Мед. академия",,7 этаж из 10,полностью меблирована,элитка,"кирпичный, 2014 г.",Добавлено 2 месяца назад,хорошее,https://www.house.kg/details/76633856578277e5ff726-50973479
"2-комн. кв., 77 м2",от собственника,86 764 сом/мес.,476,6,"Бишкек, ЦУМ, Киевская/Тыныстанова",Bay Tash Tower,7 этаж из 19,полностью меблирована,элитка,монолитный,Добавлено 4 месяца назад,евроремонт,https://www.house.kg/details/95960406536b008a69808-88765347
"3-комн. кв., 100 м2",от агента,156 174 сом/мес.,643,1,"Бишкек, Золотой квадрат, Чокморова 164",Эркиндик/Чокморова,9 этаж из 12,,элитка,монолитный,Добавлено 10 месяцев назад,евроремонт,https://www.house.kg/details/476532764381b56a0e965-59230024
"2-комн. кв., 57 м2",от агента,43 382 сом/мес.,1452,16,"Бишкек, Магистраль, Ч. Айтматова/Абдрахманова",Жилой дом Мээрим,2 этаж из 10,,элитка,монолитный,Добавлено 11 месяцев назад,евроремонт,https://www.house.kg/details/9292768640748321a66b8-41874296
"4-комн. кв., 165 м2",от агента,190 880 сом/мес.,537,,"Бишкек, Золотой квадрат",,8 этаж из 12,,элитка,монолитный,Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/6871081658cb1bce1a424-82462635
"2-комн. кв., 80 м2",от агента,112 793 сом/мес.,617,,"Бишкек, Бишкек-Парк, Токтогула 167",Оникс,8 этаж из 14,,элитка,монолитный,Добавлено 10 месяцев назад,евроремонт,https://www.house.kg/details/3389836438cc9f611e85-66606459
"2-комн. кв., 80 м2",от агента,60 735 сом/мес.,543,1,"Бишкек, Магистраль",,2 этаж из 5,,элитка,монолитный,Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/8323129658cbd3fec3090-98834636
"3-комн. кв., 100 м2",от агента,86 764 сом/мес.,863,3,"Бишкек, Бишкек-Парк",,8 этаж из 16,,элитка,монолитный,Добавлено 1 год назад,евроремонт,https://www.house.kg/details/24371063eabfa38ea415-82998275
"2-комн. кв., 57 м2",от агента,43 382 сом/мес.,1497,20,"Бишкек, Магистраль, Ч. Айтматова/Абдрахманова",Жилой дом Мээрим,2 этаж из 10,,элитка,монолитный,Добавлено 11 месяцев назад,евроремонт,https://www.house.kg/details/65728286407488f0446f7-26997915
"2-комн. кв., 50 м2",от агента,60 735 сом/мес.,705,,"Бишкек, Бишкек-Парк, Токтогула 167",Оникс,5 этаж из 14,,элитка,монолитный,Добавлено 10 месяцев назад,евроремонт,https://www.house.kg/details/203959164382c06cefcf7-76011590
"3-комн. кв., 45 м2",от агента,60 735 сом/мес.,937,1,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",Английский квартал,7 этаж из 14,,элитка,монолитный,Добавлено 10 месяцев назад,евроремонт,https://www.house.kg/details/494814964382225bcf7a1-26905011
"4-комн. кв., 130 м2",от агента,121 469 сом/мес.,744,3,"Бишкек, Старый аэропорт",,7 этаж из 10,,элитка,монолитный,Добавлено 12 месяцев назад,,https://www.house.kg/details/459606563f64b786fef80-61513409
"4-комн. кв., 100 м2",от собственника,43 382 сом/мес.,185,1,"Бишкек, Аламедин-1 м-н, Загорская 30",,9 этаж из 10,полностью меблирована,элитка,монолитный,Добавлено 28 дней назад,евроремонт,https://www.house.kg/details/318469565a41e728a7d95-60175806
"3-комн. кв., 10 м2",от собственника,6 000 сом/мес.,431,,"Бишкек, Центральная мечеть, Правда - Боканбаева 8/Правда Боконбаева",,3 этаж из 5,частично меблирована,104 серия,кирпичный,Добавлено 28 дней назад,хорошее,https://www.house.kg/details/486703065a3ff0781c2e8-70630122
"2-комн. кв., 50 м2",от собственника,52 058 сом/мес.,319,2,"Бишкек, Карпинка, суюмбаева 14 4/токтогула",,2 этаж из 9,полностью меблирована,105 серия улучшенная,"монолитный, 1990 г.",Добавлено 8 месяцев назад,евроремонт,https://www.house.kg/details/25136106497d20abe86f9-20835439
"5-комн. кв., 240 м2",от собственника,134 484 сом/мес.,189,1,"Бишкек, Золотой квадрат, Токтогула 106/Раззакова",,3 этаж из 10,полностью меблирована,элитка,"кирпичный, 2018 г.",Добавлено 3 месяца назад,евроремонт,https://www.house.kg/details/63025546565edf2e7a7b8-51612537
"2-комн. кв., 61 м2",от собственника,104 116 сом/мес.,737,5,"Бишкек, КНУ, Абдымомунова/Уметалиева",Ак-Марал 2,3 этаж из 12,полностью меблирована,элитка,"монолитный, 2021 г.",Добавлено 4 месяца назад,евроремонт,https://www.house.kg/details/45819656526a7081b1a97-38949477
"2-комн. кв., 70 м2",от собственника,130 145 сом/мес.,2585,,"Бишкек, Московская - Уметалиева, Боконбаева/Тимирязева",London,3 этаж из 12,полностью меблирована,элитка,"монолитный, 2021 г.",Добавлено 28 дней назад,евроремонт,https://www.house.kg/details/195685265a3a142ca2809-76314813
"3-комн. кв., 108 м2",от собственника,78 087 сом/мес.,415,3,"Бишкек, Джальская больница, Тыналиева 2/21/Ахунбаева","Жилой комплекс ""Алтын Булак""",8 этаж из 14,полностью меблирована,элитка,"монолитный, 2019 г.",Добавлено 28 дней назад,евроремонт,https://www.house.kg/details/662092865a36e548da0b0-49285163
"1-комн. кв., 42 м2",от собственника,40 000 сом/мес.,1020,5,"Бишкек, Вечерка, Советская/ боконбаева",,1 этаж из 9,,106 серия,панельный,Добавлено 29 дней назад,евроремонт,https://www.house.kg/details/348471265a282e0d182d3-55915918
"2-комн. кв., 56 м2",от собственника,3 500 сом/сутки,1104,,"Бишкек, Военторг, Исанова 45/Токтогула",Leonardo,5 этаж из 12,полностью меблирована,элитка,"монолитный, 2017 г.",Добавлено 29 дней назад,евроремонт,https://www.house.kg/details/73436765a2780ec18c42-10329203
"3-комн. кв., 63 м2",от собственника,45 000 сом/мес.,381,1,"Бишкек, Асанбай м-н 41",,3 этаж из 5,полностью меблирована,105 серия,панельный,Добавлено 1 месяц назад,хорошее,https://www.house.kg/details/3586564659d8cfada62f2-94004870
"2-комн. кв., 70 м2",от собственника,3 500 сом/сутки,617,1,"Бишкек, Джал-29 м-н, Садырбаева стр. 258",Жусуп Баласагын,7 этаж из 12,,элитка,"кирпичный, 2022 г.",Добавлено 6 месяцев назад,евроремонт,https://www.house.kg/details/136951164ce7e6d82b009-09390065
"1-комн. кв., 55 м2",от собственника,3 000 сом/сутки,563,2,"Бишкек, Джальская больница, Ош. ул. Абдыкадырова 207/21",Алтын Булак,10 этаж из 13,,элитка,"монолитный, 2020 г.",Добавлено 6 месяцев назад,евроремонт,https://www.house.kg/details/133538864ce7f2943a633-44717975
"3-комн. кв., 100 м2",от агента,86 764 сом/мес.,1287,,"Бишкек, Бишкек-Парк",,8 этаж из 16,,элитка,кирпичный,Добавлено 30 дней назад,хорошее,https://www.house.kg/details/165451865a178d7b22667-24779566
"2-комн. кв., 86 м2",от собственника,130 145 сом/мес.,435,2,"Бишкек, Магистраль, Токомбаева, за парком ""Асанбай""",Французский квартал,6 этаж из 8,,элитка,"монолитный, 2020 г.",Добавлено 1 месяц назад,евроремонт,https://www.house.kg/details/363076265a0b4c1be5f81-09564051
"2-комн. кв., 38 м2",от собственника,47 720 сом/мес.,745,1,"Бишкек, Политех, Ажыбек-Баатыра 10в","Жилой дом ""Casa Bella""",11 этаж из 13,полностью меблирована,элитка,"кирпичный, 2018 г.",Добавлено 1 месяц назад,евроремонт,https://www.house.kg/details/51687265a01c8057a0b1-32367077
"2-комн. кв., 53 м2",от собственника,40 000 сом/мес.,636,4,"Бишкек, Золотой квадрат",,4 этаж из 5,,105 серия,кирпичный,Добавлено 1 месяц назад,евроремонт,https://www.house.kg/details/3201285659f8ab2c10f58-28075272
"2-комн. кв., 52 м2",от собственника,3 500 сом/сутки,297,,"Бишкек, 9 м-н, саманчина 7 а",,1 этаж из 4,полностью меблирована,104 серия улучшенная,кирпичный,Добавлено 1 месяц назад,евроремонт,https://www.house.kg/details/3235401659f896ec742c9-97768318
"2-комн. кв., 52 м2",от собственника,4 000 сом/сутки,298,,"Бишкек, Сквер Тоголок Молдо, Исанова 1/Чуйкова",Жилой комплекс по Исанова-Чуйкова,5 этаж из 10,полностью меблирована,элитка,"монолитный, 2017 г.",Добавлено 1 месяц назад,евроремонт,https://www.house.kg/details/5862099659f87cc3d5705-07157709
"2-комн. кв., 75 м2",от собственника,69 411 сом/мес.,397,,"Бишкек, Мед. академия, Тыныстанова 8/1/Ахунбаева Тыныстанова",Тихий Центр,9 этаж из 10,полностью меблирована,элитка,"кирпичный, 2013 г.",Добавлено 1 месяц назад,хорошее,https://www.house.kg/details/9270787659f5ec20ba502-25570509
"1-комн. кв., 67 м2",от собственника,8 000 сом/сутки,1441,2,"Бишкек, Бишкек-Парк, Киевская 148/Чынгыз Айтматова",Bishkek Park Residence,19 этаж из 22,полностью меблирована,элитка,"монолитный, 2016 г.",Добавлено 1 месяц назад,евроремонт,https://www.house.kg/details/8292103659e881473bb21-22534573
"3-комн. кв., 60 м2",от собственника,65 000 сом/мес.,944,,"Бишкек, VEFA, Горького/Фатьянов",Панорама-2,10 этаж из 12,полностью меблирована,индивид. планировка,"кирпичный, 2022 г.",Добавлено 1 месяц назад,евроремонт,https://www.house.kg/details/5523833659ede2c00b277-18713345
"2-комн. кв., 87 м2",от собственника,65 073 сом/мес.,779,3,"Бишкек, Академия Наук, Уметалиева/Киевская",,9 этаж из 10,полностью меблирована,элитка,"кирпичный, 2014 г.",Добавлено 1 месяц назад,евроремонт,https://www.house.kg/details/1719298659ec9e0b90427-64105199
"2-комн. кв., 50 м2",от собственника,43 382 сом/мес.,565,2,"Иссык-Кульская область, с. Бает, Чайка Резорт 4",,1 этаж из 3,полностью меблирована,элитка,"кирпичный, 2022 г.",Добавлено 6 месяцев назад,евроремонт,https://www.house.kg/details/159250064ec994dbc3854-57173271
"2-комн. кв., 66 м2",от собственника,52 058 сом/мес.,1307,1,"Бишкек, Магистраль, Бакаева 140/Ю. Магистраль",Дипломат,9 этаж из 12,полностью меблирована,элитка,"кирпичный, 2019 г.",Добавлено 1 месяц назад,евроремонт,https://www.house.kg/details/2043526659eaf1ded0d19-95232913
"2-комн. кв., 80 м2",от собственника,49 000 сом/мес.,1571,3,"Бишкек, ЖД вокзал, Орозбекова 2/3",Чынара М,2 этаж из 10,частично меблирована,элитка,"кирпичный, 2017 г.",Добавлено 1 месяц назад,евроремонт,https://www.house.kg/details/7136136659e974980e517-38478256
"4-комн. кв., 143 м2",от собственника,79 823 сом/мес.,288,1,"Бишкек, Парк Панфилова/Спартак, Орозбекова 116/Фрунзе",,4 этаж из 5,полностью меблирована,индивид. планировка,"кирпичный, 2000 г.",Добавлено 6 месяцев назад,евроремонт,https://www.house.kg/details/175092464e728f2a87530-72910274
"2-комн. кв., 60 м2",от собственника,56 396 сом/мес.,777,1,"Бишкек, Парк Панфилова/Спартак, Логвиненко 55/Фрунзе",Панфилов,7 этаж из 16,полностью меблирована,элитка,"кирпичный, 2017 г.",Добавлено 1 месяц назад,евроремонт,https://www.house.kg/details/6199377659e6fcda932f1-05141191
"3-комн. кв., 75 м2",от собственника,6 941 сом/сутки,92,,"Казахстан, Алматы, досмухамедова 83/Карасай батыра",,8 этаж из 18,полностью меблирована,элитка,"монолитный, 2022 г.",Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/179697165734655523477-16304714
"2-комн. кв., 74 м2",от собственника,60 735 сом/мес.,630,10,"Бишкек, Джальская больница, Бакаева/Ахунбаева",Ырыс,8 этаж из 12,,элитка,"монолитный, 2016 г.",Добавлено 7 месяцев назад,евроремонт,https://www.house.kg/details/208832464b013a028af32-14104370
"1-комн. кв., 47 м2",от собственника,35 000 сом/мес.,1154,9,"Бишкек, Восток-5 м-н, Армейская 50/1",ЖД на улице Армейская,4 этаж из 9,полностью меблирована,элитка,"кирпичный, 2017 г.",Добавлено 1 месяц назад,евроремонт,https://www.house.kg/details/5787703659d468cdd6c74-71021154
"3-комн. кв., 58 м2",от агента,45 000 сом/мес.,851,,"Бишкек, 5 м-н",,4 этаж из 4,,104 серия,"панельный, 65 г.",Добавлено 1 месяц назад,хорошее,https://www.house.kg/details/822031659d2f50c6c7f2-63520052
"3-комн. кв., 50 м2",от собственника,4 500 сом/сутки,792,,"Бишкек, Бишкек-Парк, Токтогула/Исанова",Elite Residence,4 этаж из 16,полностью меблирована,элитка,монолитный,Добавлено 1 месяц назад,евроремонт,https://www.house.kg/details/4453563659677ba075046-16316525
"2-комн. кв., 53 м2",от собственника,5 000 сом/сутки,2049,,"Бишкек, Военторг, Токтогула/Тоголок Молдо",Александрия,8 этаж из 13,полностью меблирована,элитка,монолитный,Добавлено 1 месяц назад,евроремонт,https://www.house.kg/details/696537665967635e47292-15376449
"2-комн. кв., 48 м2",от собственника,3 500 сом/сутки,3160,,"Бишкек, Военторг, Киевская 114/Тоголок молдо / Киевская (Военторг) то",,2 этаж из 4,полностью меблирована,104 серия,кирпичный,Добавлено 1 месяц назад,хорошее,https://www.house.kg/details/6250533659673bfb45a48-16145506
"2-комн. кв., 55 м2",от собственника,4 000 сом/сутки,589,,"Бишкек, Бишкек-Парк, Исанова 60/Исанова/Токтогула",,2 этаж из 5,полностью меблирована,104 серия,кирпичный,Добавлено 1 месяц назад,хорошее,https://www.house.kg/details/325342165967d192bb519-75082069
"2-комн. кв., 50 м2",от собственника,3 500 сом/сутки,635,,"Бишкек, Академия Наук, Уметалиева 120/Уметалиева/Фрунзе (ЖК Акмарал)",,5 этаж из 12,полностью меблирована,106 серия,"кирпичный, 2009 г.",Добавлено 1 месяц назад,евроремонт,https://www.house.kg/details/269685565967b412d1c66-21230578
"2-комн. кв., 80 м2",от собственника,60 735 сом/мес.,800,10,"Бишкек, Магистраль, Тыналиева",,4 этаж из 10,,элитка,кирпичный,Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/7804720658509053b9c13-99672229
"2-комн. кв., 80 м2",от собственника,86 764 сом/мес.,298,1,"Бишкек, КНУ, Уметалиева-Фрунзе 157/Жумабек",Жилой дом ''УМЕТАЛИЕВА'',2 этаж из 10,,элитка,"кирпичный, 2021 г.",Добавлено 1 месяц назад,евроремонт,https://www.house.kg/details/7987556659d052b7b4168-50250026
"3-комн. кв., 80 м2",от собственника,70 000 сом/мес.,253,,"Бишкек, Карпинка, Суюнбаева 45/Токтогула 14",Восток-6,7 этаж из 9,,106 серия,панельный,Добавлено 1 месяц назад,евроремонт,https://www.house.kg/details/3667085659cea385da3b4-13929413
"1-комн. кв., 12 м2",от собственника,4 500 сом/мес.,821,1,"Бишкек, ТЭЦ",,1 этаж из 1,,индивид. планировка,кирпичный,Добавлено 1 месяц назад,хорошее,https://www.house.kg/details/3977058659cdd65dae638-58270042
"2-комн. кв., 44 м2",от собственника,43 500 сом/мес.,494,5,"Бишкек, Кок-Жар ж/м, Куйручук 28",,1 этаж из 9,полностью меблирована,106 серия улучшенная,"панельный, 2020 г.",Добавлено 1 месяц назад,евроремонт,https://www.house.kg/details/7194710659cc081af5083-07913769
"3-комн. кв., 106 м2",от агента,86 764 сом/мес.,1430,1,"Бишкек, Магистраль, Ч. Айтматова/Абдрахманова",Жилой дом Мээрим,6 этаж из 10,полностью меблирована,элитка,"монолитный, 2021 г.",Добавлено 3 месяца назад,евроремонт,https://www.house.kg/details/7629796541e65a898272-89645640
"3-комн. кв., 153 м2",от собственника,10 412 сом/сутки,1553,,"Бишкек, Дворец спорта, Абдумомунова 244/Коенкозова",Флагман,6 этаж из 12,полностью меблирована,элитка,"монолитный, 2019 г.",Добавлено 1 месяц назад,евроремонт,https://www.house.kg/details/5805326659c54dd892944-47044152
"3-комн. кв., 100 м2",от агента,95 440 сом/мес.,2822,,"Бишкек, Госрегистр, пр. Чингиза Айтматова 4",Жилой комплекс «Ботанический сад»,9 этаж из 12,,элитка,"монолитный, 2019 г.",Добавлено 1 месяц назад,евроремонт,https://www.house.kg/details/9706382659a6b0cba6392-40909184
"2-комн. кв., 56 м2",от собственника,45 000 сом/мес.,514,3,"Бишкек, Комфорт",,11 этаж из 12,полностью меблирована,индивид. планировка,панельный,Добавлено 2 месяца назад,евроремонт,https://www.house.kg/details/1231428656a09a03c2c88-32155893
"2-комн. кв., 60 м2",от собственника,45 000 сом/мес.,1132,1,"Бишкек, Восток-5 м-н, Мамбетова 7/3",,8 этаж из 9,полностью меблирована,106 серия,"монолитный, 1990 г.",Добавлено 1 месяц назад,хорошее,https://www.house.kg/details/9448231659ba4e03f95b0-53178398
"1-комн. кв., 50 м2",от собственника,47 720 сом/мес.,2534,9,"Бишкек, Парк Панфилова/Спартак, Панфилова/Фрунзе",Панфилов-3,10 этаж из 13,полностью меблирована,элитка,"монолитный, 2015 г.",Добавлено 6 месяцев назад,евроремонт,https://www.house.kg/details/176019664cf4682490191-07425626
"3-комн. кв., 75 м2",от агента,45 000 сом/мес.,671,,"Бишкек, 4 м-н",,4 этаж из 9,,индивид. планировка,"кирпичный, 70 г.",Добавлено 1 месяц назад,хорошее,https://www.house.kg/details/1414949659b8f9599e356-33798968
"4-комн. кв., 80 м2",от собственника,52 058 сом/мес.,365,,"Бишкек, Ак Эмир рынок, Ибраимова/Московская",,1 этаж из 9,полностью меблирована,106 серия,"монолитный, 1986 г.",Добавлено 1 месяц назад,хорошее,https://www.house.kg/details/3885658659a900bb2bda8-59767961
"2-комн. кв., 75 м2",от собственника,69 411 сом/мес.,532,4,"Бишкек, Золотой квадрат",,5 этаж из 13,полностью меблирована,элитка,"монолитный, 2016 г.",Добавлено 1 месяц назад,евроремонт,https://www.house.kg/details/2023182659a8a0646c511-95953730
"2-комн. кв., 68 м2",от собственника,52 058 сом/мес.,273,1,"Бишкек, Исакеева/Виноградная",ЖК «Келечек»,9 этаж из 10,,элитка,"монолитный, 2022 г.",Добавлено 4 месяца назад,,https://www.house.kg/details/7977181651b9362b703d7-75618952
"3-комн. кв., 100 м2",от агента,95 440 сом/мес.,680,1,"Бишкек, Госрегистр, пр. Чингиза Айтматова 4/Горького",Жилой комплекс «Ботанический сад»,9 этаж из 12,,элитка,"монолитный, 2019 г.",Добавлено 1 месяц назад,евроремонт,https://www.house.kg/details/8544332659a6b0d1ab5f1-33100130
"2-комн. кв., 68 м2",от агента,347 054 сом/сутки,1141,1,"Бишкек, Сквер Тоголок Молдо",,2 этаж из 12,полностью меблирована,элитка,кирпичный,Добавлено 1 месяц назад,евроремонт,https://www.house.kg/details/9665517659a3f53bcb969-07516878
"2-комн. кв., 65 м2",от агента,4 000 сом/сутки,1152,1,"Бишкек, Дворец спорта",,2 этаж из 12,полностью меблирована,элитка,кирпичный,Добавлено 1 месяц назад,евроремонт,https://www.house.kg/details/8074047659a3e7d329ea6-40430988
"1-комн. кв., 50 м2",от собственника,2 500 сом/сутки,1105,,"Бишкек, ЖД вокзал, Орозбекова 2/2",Чынара М,4 этаж из 10,полностью меблирована,элитка,"монолитный, 2010 г.",Добавлено 1 год назад,среднее,https://www.house.kg/details/444493263cec90e8e4d29-44916330
